popularity,popularity grownth rate,senior high school student count ,university student count,tourist sites,tourist grownth rate,zero or one,area
0.22529,-0.286,0,0,3.038,-1.728,0,鹽埕區
1.4004,1.098,0.4806,1.0296,1.090963,-0.881,1,鼓山區
1.9662,0.371,1.3016,0,1.713773,-0.103,1,左營區
1.91929,2.017,0.4448,0.8718,0.005182,-0.418,1,楠梓區
3.31389,-1.725,2.3968,1.778,1.472389,4.972,0,三民區
0.49422,-0.235,0.4858,0,0,0,1,新興區
0.26897,-0.127,0.4508,0,0.07514,1.567,1,前金區
1.63452,-1.422,1.1538,0.2281,0.88565,-2.8354,1,苓雅區
1.8051,-1.267,0.8662,0,0,-0.003,1,前鎮區
0.26491,-0.22,0,0.2732,2.721691,-1.205,0,旗津區
1.54878,0.384,0.3252,0.4929,0.077478,-3.106,0,小港區
3.56712,0.891,0.3012,0,0,0,1,鳳山區
0.68371,-0.199,0.1066,0,0,0,0,林園區
1.11663,0.149,1.1548,1.19,0,0,1,大寮區
0.40658,-0.255,0.157,1.4351,2.444006,-0.333,0,大樹區
0.33655,-0.039,0,0,0,0,0,大社區
0.95934,1.745,0.1144,0,0,0,0,仁武區
0.44342,0.249,0.147,0,1.138312,-2.8697,0,鳥松區
9.5563,-0.175,0,0,0,-0.003,0,岡山區
0.40878,0.234,0.37,0,0,0,1,橋頭區
0.28858,-0.109,0,2.1453,0,0,0,燕巢區
0.06613,-0.107,0,0,0.466605,-1.173,0,田寮區
0.27618,-0.207,0,0,0,0,0,阿蓮區
0.50669,-0.212,0.11,0.7305,0,0,0,路竹區
0.29625,0.017,0,0,0,0,0,湖內區
0.29414,-0.136,0,0,0,0,0,茄萣區
0.13761,-0.091,0,0,0,0,0,永安區
0.18444,-0.152,0,0,0,0,0,彌陀區
0.34832,-0.17,0,0,0,0,0,梓官區
0.3456,-0.364,0,0.6,0.028084,0.404,0,旗山區
0.37273,-0.434,0.0242,0,0.083879,0.054,0,美濃區
0.11856,-0.209,0.0192,0,0.348527,4.752,0,六龜區
0.05624,-0.087,0,0,0,0,0,甲仙區
0.11031,-0.175,0,0,0,0,0,衫林區
0.13389,-0.196,0,0,0,0,0,內門區
0.01913,0.012,0,0,0.268312,-1.131,0,茂林區
0.0426,0.006,0,0,0,0,0,桃源區
0.03163,-0.001,0,0,0,0,0,那瑪夏區
