人口數,人口成長率,高中人口,大學人口,觀光景點,人數成長率,判斷式,區域
22529,-0.286,0,0,3038000,-1.728,0,鹽埕區
140040,1.098,4806,10296,1090963,-0.881,1,鼓山區
196620,0.371,13016,0,1713773,-0.103,1,左營區
191929,2.017,4448,8718,5182,-0.418,1,楠梓區
331389,-1.725,23968,17780,1472389,4.972,0,三民區
49422,-0.235,4858,0,0,0,1,新興區
26897,-0.127,4508,0,75140,1.567,1,前金區
163452,-1.422,11538,2281,885650,-28.354,1,苓雅區
180510,-1.267,8662,0,0,-0.003,1,前鎮區
26491,-0.22,0,2732,2721691,-1.205,0,旗津區
154878,0.384,3252,4929,77478,-3.106,0,小港區
356712,0.891,3012,0,0,0,1,鳳山區
68371,-0.199,1066,0,0,0,0,林園區
111663,0.149,11548,11900,0,0,1,大寮區
40658,-0.255,1570,14351,2444006,-0.333,0,大樹區
33655,-0.039,0,0,0,0,0,大社區
95934,1.745,1144,0,0,0,0,仁武區
44342,0.249,1470,0,1138312,-28.697,0,鳥松區
955630,-0.175,0,0,0,-0.003,0,岡山區
40878,0.234,3700,0,0,0,1,橋頭區
28858,-0.109,0,21453,0,0,0,燕巢區
6613,-0.107,0,0,466605,-1.173,0,田寮區
27618,-0.207,0,0,0,0,0,阿蓮區
50669,-0.212,1100,7305,0,0,0,路竹區
29625,0.017,0,0,0,0,0,湖內區
29414,-0.136,0,0,0,0,0,茄萣區
13761,-0.091,0,0,0,0,0,永安區
18444,-0.152,0,0,0,0,0,彌陀區
34832,-0.17,0,0,0,0,0,梓官區
34560,-0.364,0,6000,28084,0.404,0,旗山區
37273,-0.434,242,0,83879,0.054,0,美濃區
11856,-0.209,192,0,348527,4.752,0,六龜區
5624,-0.087,0,0,0,0,0,甲仙區
11031,-0.175,0,0,0,0,0,衫林區
13389,-0.196,0,0,0,0,0,內門區
1913,0.012,0,0,268312,-1.131,0,茂林區
4260,0.006,0,0,0,0,0,桃源區
3163,-0.001,0,0,0,0,0,那瑪夏區
