,104年,105年,106年,107年,108年,109年,110年,111年,112年
鹽埕區,25032,24659,24219,24059,23889,23553,22912,22481,22529
鼓山區,136665,138099,139259,140133,141055,141488,140410,139590,140040
左營區,196244,196936,197072,196872,197728,197306,196314,195296,196620
楠梓區,179931,181845,183751,185687,187999,189426,190149,191313,191929
三民區,346169,344888,343243,340913,339269,336868,333038,330419,331389
新興區,51955,51431,51153,51032,51014,50490,49383,49068,49422
前金區,27388,27151,26991,26831,26879,26668,26416,26633,26897
苓雅區,174515,172895,171033,169648,168825,167280,164572,162642,163452
前鎮區,192593,191262,189839,188340,187524,185828,182805,180282,180510
旗津區,29008,28898,28763,28506,28129,27785,27204,26671,26491
小港區,156256,157023,157475,157742,157793,157356,156035,154808,154878
鳳山區,356320,357768,359120,359519,359882,359576,357946,356016,356712
林園區,70401,70201,69990,69870,69604,69478,68893,68429,68371
大寮區,111663,112258,112397,112421,112259,112265,111933,111514,111663
大樹區,43161,43067,42757,42390,42142,41764,41257,40732,40658
大社區,34566,34615,34577,34604,34410,34324,34050,33670,33655
仁武區,82614,84122,85894,87694,89595,91893,93581,95089,95934
鳥松區,43965,44265,44291,44469,44960,44938,44393,44168,44342
岡山區,97827,97643,97329,97103,97127,96841,95922,95349,95630
橋頭區,37317,37448,37579,37650,38254,38955,40094,40470,40878
燕巢區,30124,29960,29922,29820,29686,29493,29244,28963,28858
田寮區,7473,7340,7245,7159,7043,6919,6788,6655,6613
阿蓮區,29319,29093,28844,28658,28489,28331,28011,27656,27618
路竹區,53033,53007,52761,52538,52185,51726,51217,50602,50669
湖內區,29615,29876,29803,29794,29684,29882,29648,29540,29625
茄萣區,30551,30412,30217,30089,30006,29960,29812,29480,29414
永安區,14152,14039,13980,13909,13786,13705,13618,13776,13761
彌陀區,19655,19555,19383,19252,19049,18872,18627,18468,18444
梓官區,36429,36252,36116,35940,35750,35517,35117,34845,34832
旗山區,37770,37342,36940,36652,36313,35764,35162,34622,34560
美濃區,40810,40399,39973,39589,39074,38611,37949,37317,37273
六龜區,13467,13217,13016,12939,12633,12391,12135,11920,11846
甲仙區,6291,6214,6107,6026,5943,5877,5788,5661,5624
杉林區,12383,12201,12038,11795,11681,11541,11288,11094,11031
內門區,14978,14743,14540,14437,14195,13976,13770,13499,13389
茂林區,1890,1896,1924,1994,1937,1915,1874,1940,1913
桃源區,4239,4220,4246,4311,4261,4223,4193,4258,4260
那瑪夏區,3149,3131,3125,3148,3146,3147,3143,3201,3163
總數,2778918,2779371,2776912,2773533,2773198,2765932,2744691,2728137,2734893
